"Date (MMM DD, YYYY)",Transaction Type,Stock / ETF Symbol,Quantity of Units,Amount per unit,Total Amount,Fees,Investment Account,Split Ratio (new shares per old share),Note
"Jun 29, 2002",Buy,IDIOX,180,6.0276,1084.97,0,ING Direct,,
"Jun 29, 2002",Buy,IDLOX,153,11.8542,1813.69,0,ING Direct,,
"Jun 29, 2002",Buy,IDMOX,162,11.2681,1825.43,0,ING Direct,,
"Nov 11, 2003",Buy,SPY,28.48,105.3204,2999.95,0,Sharebuilder,,
"Nov 25, 2003",Buy,DIA,15.31,97.9624,1500,0,Sharebuilder,,
"Nov 25, 2003",Buy,QQQ,42.39,35.3844,1500.02,0,Sharebuilder,,
"Dec 2, 2003",Buy,LQD,78.86,109.3407,8623.04,0,Sharebuilder,,
"Dec 31, 2003",Buy,QQQ,0.02,36.478,0.58,0,Sharebuilder,,
"Dec 31, 2003",Dividend,QQQ,0.02,36.478,0.58,0,Sharebuilder,,
"Jan 12, 2004",Buy,DIA,0.02,104.6512,2.2,0,Sharebuilder,,
"Jan 12, 2004",Buy,LQD,0.32,112.0663,35.86,0,Sharebuilder,,
"Jan 12, 2004",Dividend,DIA,0.02,104.6512,2.2,0,Sharebuilder,,
"Jan 12, 2004",Dividend,LQD,0.32,112.0663,35.86,0,Sharebuilder,,
"Jan 13, 2004",Buy,DIA,23.81,104.9538,2498.95,0,Sharebuilder,,
"Jan 13, 2004",Buy,QQQ,65.68,38.0608,2499.99,0,Sharebuilder,,
"Jan 13, 2004",Buy,SPY,17.71,112.9459,2000.05,0,Sharebuilder,,
"Jan 30, 2004",Buy,SPY,0.13,113.4363,14.63,0,Sharebuilder,,
"Jan 30, 2004",Dividend,SPY,0.13,113.4363,14.63,0,Sharebuilder,,
"Feb 9, 2004",Buy,LQD,0.31,111.413,34.87,0,Sharebuilder,,
"Feb 9, 2004",Dividend,LQD,0.31,111.413,34.87,0,Sharebuilder,,
"Feb 17, 2004",Buy,DIA,0.03,106.746,2.67,0,Sharebuilder,,
"Feb 17, 2004",Dividend,DIA,0.03,106.746,2.67,0,Sharebuilder,,
"Mar 8, 2004",Buy,LQD,0.31,112.6059,34.57,0,Sharebuilder,,
"Mar 8, 2004",Dividend,LQD,0.31,112.6059,34.57,0,Sharebuilder,,
"Mar 15, 2004",Buy,DIA,0.1,102.5366,10.46,0,Sharebuilder,,
"Mar 15, 2004",Dividend,DIA,0.1,102.5366,10.46,0,Sharebuilder,,
"Apr 6, 2004",Buy,SPY,43.52,114.9019,4999.96,0,Sharebuilder,,
"Apr 7, 2004",Buy,LQD,0.31,111.536,34.46,0,Sharebuilder,,
"Apr 7, 2004",Dividend,LQD,0.31,111.536,34.46,0,Sharebuilder,,
