         30412780 function calls (29369944 primitive calls) in 55.347 seconds

   Ordered by: cumulative time
   List reduced from 6322 to 100 due to restriction <100>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.003    0.003   55.356   55.356 /Users/kmatan/Library/CloudStorage/OneDrive-MahidolUniversity/finance/Stocks/Evaluations/python/Investa/src/workers.py:128(run)
  795/560    0.004    0.000   49.201    0.088 /Users/kmatan/.pyenv/versions/3.12.9/lib/python3.12/site-packages/curl_cffi/requests/session.py:651(get)
  795/560    0.010    0.000   49.175    0.088 /Users/kmatan/.pyenv/versions/3.12.9/lib/python3.12/site-packages/curl_cffi/requests/session.py:487(request)
  795/561    0.016    0.000   48.849    0.087 /Users/kmatan/.pyenv/versions/3.12.9/lib/python3.12/site-packages/curl_cffi/curl.py:317(perform)
 4223/502    0.042    0.000   44.949    0.090 /Users/kmatan/.pyenv/versions/3.12.9/lib/python3.12/site-packages/yfinance/utils.py:86(wrapper)
      849    6.899    0.008   43.821    0.052 {built-in method time.sleep}
  672/487    0.002    0.000   41.751    0.086 /Users/kmatan/.pyenv/versions/3.12.9/lib/python3.12/site-packages/yfinance/data.py:368(get)
  672/487    0.007    0.000   41.743    0.086 /Users/kmatan/.pyenv/versions/3.12.9/lib/python3.12/site-packages/yfinance/data.py:376(_make_request)
        1    0.005    0.005   41.233   41.233 /Users/kmatan/Library/CloudStorage/OneDrive-MahidolUniversity/finance/Stocks/Evaluations/python/Investa/src/portfolio_logic.py:168(calculate_portfolio_summary)
  795/561   33.545    0.042   32.993    0.059 {built-in method curl_cffi._wrapper.curl_easy_perform}
  164/162    0.000    0.000   32.908    0.203 /Users/kmatan/.pyenv/versions/3.12.9/lib/python3.12/site-packages/yfinance/ticker.py:161(info)
  164/162    0.000    0.000   32.908    0.203 /Users/kmatan/.pyenv/versions/3.12.9/lib/python3.12/site-packages/yfinance/base.py:293(get_info)
  277/162    0.001    0.000   32.907    0.203 /Users/kmatan/.pyenv/versions/3.12.9/lib/python3.12/site-packages/yfinance/scrapers/quote.py:508(info)
  324/322    0.009    0.000   25.386    0.079 /Users/kmatan/.pyenv/versions/3.12.9/lib/python3.12/site-packages/yfinance/scrapers/quote.py:605(_fetch_info)
  324/321    0.001    0.000   25.351    0.079 /Users/kmatan/.pyenv/versions/3.12.9/lib/python3.12/site-packages/yfinance/data.py:430(get_raw_json)
        2    0.002    0.001   21.193   10.597 /Users/kmatan/Library/CloudStorage/OneDrive-MahidolUniversity/finance/Stocks/Evaluations/python/Investa/src/market_data.py:372(get_current_quotes)
  162/161    0.001    0.000   17.053    0.106 /Users/kmatan/.pyenv/versions/3.12.9/lib/python3.12/site-packages/yfinance/scrapers/quote.py:581(_fetch)
        2    0.001    0.000   16.601    8.301 /Users/kmatan/Library/CloudStorage/OneDrive-MahidolUniversity/finance/Stocks/Evaluations/python/Investa/src/market_data.py:297(_ensure_metadata_batch)
