         1362447 function calls (1338725 primitive calls) in 3.129 seconds

   Ordered by: cumulative time
   List reduced from 2016 to 50 due to restriction <50>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.003    0.003    3.129    3.129 portfolio_history.py:2852(calculate_historical_performance)
        5    0.001    0.000    2.387    0.477 profile_historical_calc.py:39(wrapper)
        1    0.009    0.009    1.534    1.534 market_data.py:3232(get_historical_data)
        1    0.001    0.001    1.318    1.318 market_db.py:216(get_ohlcv_batch)
        3    0.020    0.007    1.220    0.407 sql.py:436(read_sql_query)
        3    0.000    0.000    1.200    0.400 sql.py:2717(read_query)
        3    0.041    0.014    1.078    0.359 sql.py:2757(_fetchall_as_list)
        3    1.037    0.346    1.037    0.346 {method 'fetchall' of 'sqlite3.Cursor' objects}
        1    0.004    0.004    0.711    0.711 portfolio_history.py:1218(_load_or_calculate_daily_results)
      174    0.001    0.000    0.418    0.002 datetimes.py:678(to_datetime)
        1    0.211    0.211    0.366    0.366 portfolio_history.py:918(_value_daily_holdings_vectorized)
      130    0.002    0.000    0.366    0.003 datetimes.py:211(_maybe_cache)
        1    0.000    0.000    0.363    0.363 utils_time.py:49(get_latest_trading_date)
        1    0.000    0.000    0.362    0.362 utils_time.py:21(_cached_schedule)
        1    0.000    0.000    0.362    0.362 market_calendar.py:696(schedule)
      130    0.030    0.000    0.354    0.003 datetimes.py:151(should_cache)
    59794    0.332    0.000    0.333    0.000 datetimes.py:647(__iter__)
        1    0.000    0.000    0.298    0.298 nyse.py:1299(valid_days)
        1    0.000    0.000    0.298    0.298 market_calendar.py:573(valid_days)
        1    0.040    0.040    0.297    0.297 market_calendar.py:556(holidays)
        3    0.000    0.000    0.250    0.083 holiday.py:443(holidays)
       40    0.005    0.000    0.245    0.006 holiday.py:249(dates)
       40    0.002    0.000    0.134    0.003 holiday.py:308(_reference_dates)
       42    0.000    0.000    0.133    0.003 datetimes.py:821(date_range)
       42    0.003    0.000    0.132    0.003 datetimes.py:399(_generate_range)
     3431    0.047    0.000    0.127    0.000 datetimes.py:2729(_generate_range)
        3    0.005    0.002    0.120    0.040 sql.py:196(_wrap_result)
  656/468    0.001    0.000    0.115    0.000 common.py:62(new_method)
        3    0.028    0.009    0.114    0.038 sql.py:162(_convert_arrays_to_dataframe)
       74    0.002    0.000    0.107    0.001 generic.py:8219(interpolate)
        1    0.000    0.000    0.105    0.105 portfolio_history.py:2263(_get_or_calculate_all_daily_holdings)
      152    0.001    0.000    0.105    0.001 base.py:3245(union)
      596    0.002    0.000    0.104    0.000 managers.py:317(apply)
      137    0.002    0.000    0.099    0.001 datetimelike.py:709(_union)
        3    0.000    0.000    0.098    0.033 _npyio_impl.py:310(load)
        3    0.000    0.000    0.097    0.032 format.py:763(read_array)
        3    0.097    0.032    0.097    0.032 {built-in method numpy.fromfile}
       40    0.000    0.000    0.088    0.002 holiday.py:343(_apply_rule)
      141    0.000    0.000    0.088    0.001 datetimelike.py:2296(_with_freq)
      139    0.000    0.000    0.087    0.001 datetimelike.py:933(inferred_freq)
      148    0.001    0.000    0.087    0.001 base.py:1380(_arith_method)
      139    0.001    0.000    0.086    0.001 frequencies.py:89(infer_freq)
1509/1473    0.013    0.000    0.085    0.000 series.py:389(__init__)
       14    0.000    0.000    0.085    0.006 frame.py:694(__init__)
       14    0.000    0.000    0.085    0.006 construction.py:423(dict_to_mgr)
       14    0.000    0.000    0.081    0.006 construction.py:96(arrays_to_mgr)
        3    0.000    0.000    0.080    0.027 construction.py:1006(convert_object_array)
       12    0.079    0.007    0.080    0.007 construction.py:1028(convert)
      139    0.000    0.000    0.079    0.001 frequencies.py:213(get_freq)
       57    0.000    0.000    0.077    0.001 arraylike.py:98(__add__)


